CUST_CODE,LAST_WEEK,LAST_DATE,TOTAL_COME,TOTAL_SPEND,CUS_SEN_LA,CUS_SEN_MM,CUS_SEN_UM,CUS_SEN_XX,BAS_SIZE_L,BAS_SIZE_M,BAS_SIZE_S,BAS_TYPE_FULL,BAS_TYPE_SMALL,BAS_TYPE_TOP,BAS_TYPE_XX,BAS_DO_FRESH,BAS_DO_GROCERY,BAS_DO_MIX,BAS_DO_NONFOOD,STORE_FOR_LS,STORE_FOR_MS,STORE_FOR_SS,STORE_FOR_XLS,STORE_FOR_XX,Total_CHURN
CUST0000860875,200803,2008-03-15,82,493.24,0,268,0,0,85,136,47,51,143,73,1,149,26,81,11,55,212,0,1,1,0.0
CUST0000860835,200805,2008-03-28,2,40.93,0,0,18,0,18,0,0,0,0,18,0,9,0,9,0,18,0,0,0,0,
CUST0000860648,200805,2008-03-27,144,2691.650000000001,0,1347,0,0,1151,165,31,605,125,617,0,789,50,491,17,1254,62,10,21,0,0.0
CUST0000860136,200752,2008-02-22,11,84.79,59,0,0,0,32,25,2,0,18,41,0,26,10,23,0,0,0,2,57,0,3.0
CUST0000860135,200709,2007-04-28,1,5.3000000000000007,0,0,0,5,0,5,0,0,5,0,0,5,0,0,0,5,0,0,0,0,1.0
CUST0000859516,200711,2007-05-07,20,194.04000000000002,0,0,91,0,25,61,5,0,7,83,1,49,0,41,0,0,91,0,0,1,1.0
CUST0000859492,200637,2006-11-10,1,6.92,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,0,0,4,0,0,1.0
CUST0000859206,200743,2007-12-23,12,84.93,0,0,41,0,15,18,8,0,20,21,0,20,3,18,0,25,0,16,0,0,3.0
CUST0000859140,200805,2008-03-26,250,1480.2399999999998,0,0,733,0,169,452,112,0,485,241,7,458,73,159,36,733,0,0,0,7,0.0
CUST0000858529,200750,2008-02-04,39,446.2,222,0,0,0,162,49,11,66,41,115,0,72,43,103,4,170,51,1,0,0,0.0
CUST0000858503,200805,2008-03-29,381,2516.2200000000003,0,1789,0,0,1278,285,226,470,447,858,14,501,241,1004,29,170,1613,5,1,14,0.0
CUST0000858321,200805,2008-03-29,98,1744.7399999999998,0,993,0,0,926,58,9,294,53,645,1,707,29,254,2,993,0,0,0,1,0.0
CUST0000857923,200732,2007-10-07,1,30.59,0,0,0,6,6,0,0,0,6,0,0,6,0,0,0,6,0,0,0,0,1.0
CUST0000857815,200803,2008-03-16,3,3.7,0,0,0,4,0,1,3,0,4,0,0,0,4,0,0,0,0,4,0,0,
CUST0000857793,200637,2006-11-11,1,23.9,22,0,0,0,22,0,0,22,0,0,0,0,22,0,0,22,0,0,0,0,1.0
CUST0000857328,200802,2008-03-04,1,2.5700000000000003,0,0,0,2,0,2,0,0,2,0,0,0,2,0,0,2,0,0,0,0,
CUST0000856838,200805,2008-03-25,30,109.81,0,67,0,0,16,25,26,16,46,4,1,23,36,7,0,67,0,0,0,1,1.0
CUST0000856617,200805,2008-03-30,126,2557.21,1157,0,0,0,977,153,27,719,81,357,0,177,257,706,17,1157,0,0,0,0,0.0
CUST0000856477,200718,2007-07-01,2,5.3100000000000005,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,3,0,0,0,0,1.0
CUST0000856458,200745,2008-01-03,1,3.86,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1.0
CUST0000856447,200805,2008-03-30,13,286.35,0,144,0,0,140,0,4,57,4,83,0,16,12,115,1,144,0,0,0,0,0.0
CUST0000856398,200805,2008-03-27,196,937.54000000000008,0,0,665,0,183,386,96,14,373,273,5,319,82,216,43,646,10,0,9,5,0.0
CUST0000856322,200805,2008-03-28,257,3393.3300000000004,0,2147,0,0,1810,194,143,1672,266,204,5,450,123,1557,12,22,272,1697,156,5,0.0
CUST0000856241,200612,2006-05-15,1,35.85,0,22,0,0,22,0,0,22,0,0,0,0,0,22,0,0,0,0,22,0,1.0
CUST0000855939,200805,2008-03-25,186,1964.1200000000003,1436,0,0,0,1162,250,24,187,177,1069,3,879,101,447,6,1404,32,0,0,3,0.0
CUST0000855770,200805,2008-03-27,175,1305.39,0,758,0,0,350,369,39,11,282,465,0,435,88,235,0,401,356,1,0,0,0.0
CUST0000855714,200746,2008-01-10,32,531.84,0,0,268,0,240,20,8,55,29,184,0,102,51,109,6,250,18,0,0,0,2.0
CUST0000855240,200804,2008-03-22,124,1236.62,672,0,0,0,432,196,44,93,153,425,1,206,138,305,22,137,535,0,0,1,0.0
CUST0000855087,200752,2008-02-22,181,1103.61,0,881,0,0,18,842,21,0,252,629,0,433,104,338,6,881,0,0,0,0,0.0
CUST0000855054,200806,2008-03-31,145,1431.4600000000003,0,868,0,0,526,307,35,347,238,282,1,292,116,448,11,0,846,0,22,1,0.0
CUST0000854437,200625,2006-08-16,1,37.53,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1.0
CUST0000854324,200805,2008-03-25,44,766.29000000000008,0,289,0,0,231,46,12,125,30,134,0,39,69,157,24,276,13,0,0,0,0.0
CUST0000853933,200804,2008-03-18,29,250.10000000000002,0,0,119,0,51,60,8,0,44,74,1,67,11,30,10,119,0,0,0,1,3.0
CUST0000853841,200805,2008-03-27,67,971.9899999999999,0,497,0,0,439,37,21,96,43,356,2,28,237,226,4,492,1,4,0,2,0.0
CUST0000853563,200729,2007-09-13,7,184.48000000000002,84,0,0,0,69,15,0,69,4,11,0,73,6,5,0,0,84,0,0,0,2.0
CUST0000853429,200750,2008-02-10,7,166.88000000000002,0,0,83,0,83,0,0,0,0,83,0,37,9,37,0,83,0,0,0,0,3.0
CUST0000853281,200638,2006-11-15,5,77.64,0,28,0,0,22,3,3,0,5,22,1,17,0,0,10,18,0,10,0,1,1.0
CUST0000853197,200802,2008-03-03,29,363.71000000000004,0,199,0,0,131,57,11,87,46,66,0,106,19,72,2,198,1,0,0,0,0.0
CUST0000853046,200805,2008-03-27,10,95.33,65,0,0,0,43,19,3,0,14,50,1,27,0,37,0,0,65,0,0,1,1.0
CUST0000852398,200721,2007-07-16,5,41.22,0,0,19,0,10,4,5,0,9,10,0,6,13,0,0,19,0,0,0,0,2.0
CUST0000852365,200805,2008-03-29,32,41.21,0,47,0,0,0,12,35,0,44,0,3,21,15,2,6,0,47,0,0,3,1.0
CUST0000852161,200805,2008-03-26,43,197.01000000000002,129,0,0,0,17,95,17,0,79,50,0,80,28,21,0,0,129,0,0,0,0.0
CUST0000851982,200804,2008-03-23,25,207.52999999999997,161,0,0,0,123,23,15,88,34,39,0,111,9,41,0,111,12,33,5,0,2.0
CUST0000851905,200805,2008-03-30,84,2738.01,1299,0,0,0,1251,40,8,982,42,275,0,396,158,743,2,1279,1,0,19,0,0.0
CUST0000851860,200806,2008-03-31,147,5536.4099999999989,0,2812,0,0,2705,77,30,2290,74,448,0,1557,23,1218,14,2812,0,0,0,0,0.0
CUST0000851830,200805,2008-03-30,50,398.63,0,0,166,0,78,59,29,15,58,92,1,75,12,72,6,165,0,0,1,1,0.0
CUST0000851370,200739,2007-11-24,10,117.06000000000002,0,76,0,0,59,12,5,11,5,60,0,29,11,36,0,76,0,0,0,0,1.0
CUST0000850673,200805,2008-03-29,133,393.50000000000006,0,253,0,0,0,153,100,0,242,9,2,92,86,55,18,219,23,7,4,2,0.0
CUST0000850666,200707,2007-04-13,23,284.07000000000005,163,0,0,0,131,24,8,48,25,90,0,79,17,65,2,150,0,13,0,0,1.0
CUST0000850628,200719,2007-07-06,1,5.9,0,0,0,2,0,0,2,0,2,0,0,0,0,2,0,2,0,0,0,0,1.0
CUST0000850267,200722,2007-07-27,1,39.5,0,18,0,0,18,0,0,18,0,0,0,18,0,0,0,0,18,0,0,0,1.0
CUST0000849738,200804,2008-03-18,77,1685.86,865,0,0,0,780,79,6,191,27,647,0,735,5,125,0,98,0,767,0,0,1.0
CUST0000849576,200805,2008-03-29,116,1912.0099999999998,0,1273,0,0,1194,56,23,252,61,954,6,1003,36,224,4,1243,6,22,2,6,0.0
CUST0000848953,200805,2008-03-26,98,1053.13,0,0,843,0,475,365,3,0,315,528,0,773,12,58,0,0,0,0,843,0,0.0
CUST0000848908,200752,2008-02-23,24,399.34,0,0,180,0,121,51,8,40,34,106,0,107,4,69,0,177,3,0,0,0,2.0
CUST0000848715,200751,2008-02-11,2,68.710000000000008,0,0,25,0,23,0,2,23,2,0,0,23,0,2,0,0,0,0,25,0,
CUST0000848525,200805,2008-03-27,167,2532.3599999999997,1116,0,0,0,818,226,72,596,151,369,0,259,250,588,19,1116,0,0,0,0,0.0
CUST0000848476,200608,2006-04-17,1,2.36,0,0,0,4,0,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,1.0
CUST0000848462,200736,2007-10-30,347,5245.5299999999988,3041,0,0,0,2343,534,164,2302,550,186,3,708,184,2093,53,3039,2,0,0,3,1.0
CUST0000848260,200725,2007-08-15,1,3.76,0,0,0,5,0,5,0,0,0,5,0,0,5,0,0,5,0,0,0,0,1.0
CUST0000848123,200804,2008-03-22,64,853.63999999999987,334,0,0,0,239,88,7,116,59,157,2,23,124,181,4,94,240,0,0,2,0.0
CUST0000848021,200805,2008-03-26,156,1804.5500000000004,0,811,0,0,465,282,64,97,197,517,0,556,34,208,13,811,0,0,0,0,0.0
CUST0000847695,200735,2007-10-27,3,102.5,0,54,0,0,50,4,0,50,4,0,0,28,0,26,0,54,0,0,0,0,3.0
CUST0000847593,200724,2007-08-12,105,494.53000000000003,0,329,0,0,106,143,80,33,146,150,0,184,52,84,9,256,33,40,0,0,1.0
CUST0000847557,200806,2008-03-31,204,2480.6899999999996,1405,0,0,0,1075,297,33,310,218,877,0,746,178,468,13,7,1395,3,0,0,0.0
CUST0000847458,200805,2008-03-27,108,2745.5500000000006,0,1612,0,0,1595,14,3,1099,6,505,2,1134,10,466,0,1612,0,0,0,2,0.0
CUST0000846938,200805,2008-03-28,109,1330.6,0,0,614,0,361,227,26,32,164,418,0,265,83,265,1,614,0,0,0,0,0.0
CUST0000846460,200802,2008-03-08,129,721.59,0,603,0,0,265,293,45,15,178,406,4,345,50,168,36,370,2,4,227,4,0.0
CUST0000846201,200804,2008-03-19,24,64.42,0,52,0,0,0,33,19,0,52,0,0,15,33,4,0,29,0,2,21,0,2.0
CUST0000846163,200804,2008-03-19,189,5024.4699999999993,0,0,2178,0,2032,100,46,1444,147,582,5,1260,83,812,18,2117,53,5,3,5,0.0
CUST0000846113,200805,2008-03-27,104,911.60000000000014,842,0,0,0,696,145,1,23,23,796,0,61,388,392,1,842,0,0,0,0,0.0
CUST0000846079,200806,2008-03-31,44,490.93000000000006,323,0,0,0,220,90,13,0,46,276,1,78,59,185,0,0,323,0,0,1,1.0
CUST0000845893,200805,2008-03-28,5,111.61,0,0,75,0,70,4,1,70,5,0,0,54,1,20,0,24,51,0,0,0,
CUST0000845855,200716,2007-06-15,50,520.16000000000008,0,0,268,0,136,113,19,54,113,101,0,160,24,77,7,3,0,265,0,0,1.0
CUST0000845331,200805,2008-03-29,2,81.19,0,50,0,0,50,0,0,29,0,21,0,50,0,0,0,0,50,0,0,0,1.0
CUST0000845098,200717,2007-06-18,1,59.55,0,29,0,0,29,0,0,0,0,29,0,0,29,0,0,29,0,0,0,0,1.0
CUST0000845052,200711,2007-05-10,2,85.1,0,51,0,0,51,0,0,28,0,23,0,23,0,28,0,51,0,0,0,0,2.0
CUST0000844759,200801,2008-02-28,17,232.77999999999997,0,131,0,0,98,28,5,49,24,58,0,97,0,34,0,131,0,0,0,0,2.0
CUST0000844724,200742,2007-12-10,10,36.580000000000005,0,0,0,14,0,5,9,0,14,0,0,12,2,0,0,2,12,0,0,0,3.0
CUST0000844556,200627,2006-08-29,1,0.64,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1.0
CUST0000844192,200733,2007-10-09,1,2.81,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,1.0
CUST0000844115,200805,2008-03-24,90,1654.5500000000002,0,0,743,0,599,131,13,120,43,580,0,620,8,114,1,743,0,0,0,0,1.0
CUST0000843968,200642,2006-12-17,3,13.95,15,0,0,0,9,4,2,0,6,9,0,13,0,2,0,0,15,0,0,0,2.0
CUST0000843789,200635,2006-10-26,2,3.58,0,0,0,5,0,4,1,0,4,0,1,4,0,0,0,5,0,0,0,1,1.0
CUST0000843768,200805,2008-03-27,19,177.28,0,68,0,0,23,38,7,15,34,19,0,4,29,28,7,68,0,0,0,0,1.0
CUST0000843677,200805,2008-03-30,120,1650.7299999999998,0,0,1051,0,899,135,17,128,136,785,2,679,56,303,11,509,0,5,537,2,0.0
CUST0000843662,200805,2008-03-28,202,3284.44,0,0,1591,0,1340,191,60,282,224,1081,4,1150,110,308,19,1589,2,0,0,4,0.0
CUST0000843554,200749,2008-01-28,19,128.11,0,73,0,0,33,27,13,11,29,33,0,5,20,47,1,0,23,17,33,0,1.0
CUST0000843286,200805,2008-03-25,111,2238.23,0,1060,0,0,889,148,23,480,106,474,0,735,23,299,3,378,682,0,0,0,0.0
CUST0000843133,200649,2007-01-30,1,2.83,0,0,0,3,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,1.0
CUST0000843130,200804,2008-03-18,81,1371.4499999999998,0,638,0,0,537,101,0,101,41,496,0,144,103,391,0,435,0,119,84,0,0.0
CUST0000843047,200645,2007-01-07,1,31.41,0,0,0,3,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,0,1.0
CUST0000843006,200806,2008-03-31,179,3249.1099999999997,0,1438,0,0,1040,374,24,524,129,785,0,156,345,933,4,1438,0,0,0,0,0.0
CUST0000842436,200744,2007-12-30,1,5.4,0,0,0,5,0,5,0,0,5,0,0,5,0,0,0,0,5,0,0,0,1.0
CUST0000842172,200637,2006-11-06,1,0.53,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1.0
CUST0000842003,200804,2008-03-21,22,941.96,0,0,364,0,364,0,0,127,0,237,0,271,0,93,0,364,0,0,0,0,1.0
CUST0000841880,200802,2008-03-07,41,154.01,0,102,0,0,0,73,29,0,75,27,0,63,5,24,10,94,8,0,0,0,0.0
CUST0000841684,200651,2007-02-13,4,92.9,50,0,0,0,50,0,0,24,0,26,0,11,24,15,0,50,0,0,0,0,2.0
CUST0000841576,200748,2008-01-27,15,72.839999999999989,0,37,0,0,0,23,14,0,22,15,0,13,2,17,5,37,0,0,0,0,4.0
CUST0000841571,200805,2008-03-26,217,4945.28,0,2338,0,0,1967,321,50,1405,175,758,0,1256,59,1008,15,2338,0,0,0,0,0.0
CUST0000841531,200625,2006-08-16,1,28.09,0,14,0,0,14,0,0,0,0,14,0,0,0,14,0,0,14,0,0,0,1.0
CUST0000841039,200805,2008-03-27,45,1219.01,0,0,661,0,633,27,1,184,10,467,0,522,0,139,0,653,1,0,7,0,0.0
CUST0000840789,200806,2008-03-31,397,1987.52,0,1124,0,0,397,377,350,245,632,245,2,473,218,404,27,129,979,16,0,2,0.0
CUST0000840518,200805,2008-03-30,10,212.11,0,0,113,0,97,16,0,41,16,56,0,98,0,15,0,88,25,0,0,0,0.0
CUST0000840471,200730,2007-09-23,4,6.3699999999999992,0,0,0,9,0,4,5,0,9,0,0,6,0,2,1,0,0,9,0,0,3.0
CUST0000840438,200805,2008-03-28,105,1084.7499999999998,0,547,0,0,310,203,34,59,114,374,0,345,23,178,1,10,189,337,11,0,0.0
CUST0000840360,200724,2007-08-09,22,59.64,0,56,0,0,11,34,11,0,38,18,0,24,16,15,1,0,43,13,0,0,3.0
CUST0000840344,200805,2008-03-30,87,960.77,557,0,0,0,366,177,14,101,120,336,0,234,89,232,2,327,230,0,0,0,0.0
CUST0000840138,200805,2008-03-25,24,231.21999999999997,0,128,0,0,77,42,9,0,42,86,0,90,4,31,3,3,0,83,42,0,2.0
CUST0000840136,200806,2008-03-31,207,1376.4199999999998,0,696,0,0,203,363,130,85,401,204,6,410,99,160,21,561,12,16,107,6,1.0
CUST0000839847,200805,2008-03-28,24,244.86000000000004,0,70,0,0,24,29,17,0,46,24,0,47,9,10,4,62,0,0,8,0,2.0
CUST0000839736,200805,2008-03-27,220,1702.6000000000001,0,0,774,0,70,581,123,16,444,313,1,528,107,137,1,152,622,0,0,1,1.0
CUST0000839302,200620,2006-07-13,2,32.8,19,0,0,0,19,0,0,0,0,19,0,8,0,11,0,19,0,0,0,0,1.0
CUST0000838538,200642,2006-12-11,7,107.73,0,40,0,0,16,23,1,0,3,36,1,30,6,3,0,40,0,0,0,1,1.0
CUST0000838258,200805,2008-03-29,93,685.31000000000017,0,375,0,0,139,187,49,31,126,218,0,109,68,176,22,366,9,0,0,0,1.0
CUST0000838231,200803,2008-03-15,14,148.87,0,103,0,0,82,13,8,82,21,0,0,76,1,24,2,0,0,0,103,0,0.0
CUST0000838103,200801,2008-02-25,41,383.25000000000011,0,0,107,0,10,61,36,0,75,32,0,49,37,21,0,63,25,19,0,0,0.0
CUST0000837423,200709,2007-04-29,13,623.84,0,220,0,0,212,8,0,198,8,14,0,70,1,149,0,216,4,0,0,0,2.0
CUST0000837409,200805,2008-03-29,156,1562.6999999999998,750,0,0,0,456,224,70,331,237,181,1,273,172,297,7,15,735,0,0,1,0.0
CUST0000837178,200644,2006-12-31,4,25.810000000000002,18,0,0,0,12,0,6,0,6,12,0,4,0,12,2,18,0,0,0,0,1.0
CUST0000837146,200806,2008-03-31,435,2457.1200000000003,0,1562,0,0,737,595,230,161,705,696,0,520,515,456,71,1351,1,0,210,0,0.0
CUST0000836708,200615,2006-06-11,2,26.590000000000003,0,0,15,0,12,3,0,0,3,12,0,12,0,3,0,15,0,0,0,0,1.0
CUST0000836537,200713,2007-05-22,1,11.5,9,0,0,0,9,0,0,0,0,9,0,9,0,0,0,0,9,0,0,0,1.0
CUST0000836503,200802,2008-03-03,81,592.15000000000009,0,468,0,0,264,178,26,84,89,295,0,229,71,160,8,468,0,0,0,0,0.0
CUST0000836042,200802,2008-03-04,23,308.5,0,77,0,0,40,24,13,0,21,55,1,66,6,0,4,64,0,0,13,1,0.0
CUST0000836007,200805,2008-03-29,85,729.07999999999993,0,0,314,0,135,153,26,9,119,184,2,93,97,110,12,211,95,8,0,2,0.0
CUST0000835845,200635,2006-10-23,3,90.580000000000013,0,0,63,0,63,0,0,63,0,0,0,0,0,63,0,63,0,0,0,0,2.0
CUST0000835723,200804,2008-03-19,88,383.61999999999989,0,203,0,0,44,85,74,0,141,62,0,97,23,61,22,194,3,6,0,0,0.0
CUST0000835716,200806,2008-03-31,134,1111.3300000000002,674,0,0,0,410,192,72,277,218,178,1,183,168,283,39,611,63,0,0,1,0.0
CUST0000835673,200744,2007-12-30,13,56.129999999999995,0,0,38,0,0,27,11,0,25,13,0,30,1,5,2,38,0,0,0,0,3.0
CUST0000835559,200805,2008-03-27,199,2425.0,0,0,1846,0,1617,91,138,1294,212,340,0,927,59,851,9,406,1440,0,0,0,1.0
CUST0000835400,200748,2008-01-27,1,0.79,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1.0
CUST0000835390,200712,2007-05-14,9,521.92000000000007,0,0,134,0,133,0,1,47,1,86,0,36,19,79,0,0,0,134,0,0,1.0
CUST0000835270,200741,2007-12-09,21,98.42,55,0,0,0,7,37,11,0,38,17,0,26,17,11,1,0,0,3,52,0,2.0
CUST0000835203,200738,2007-11-13,4,0.060000000000000005,0,0,0,4,0,1,3,0,4,0,0,0,4,0,0,4,0,0,0,0,3.0
CUST0000834937,200803,2008-03-16,77,624.7,0,0,309,0,154,105,50,41,132,136,0,127,43,135,4,188,113,5,3,0,0.0
CUST0000834512,200744,2007-12-25,28,195.1,0,153,0,0,91,48,14,51,48,53,1,67,3,79,3,146,0,3,4,1,1.0
CUST0000834203,200805,2008-03-24,58,340.36,0,0,197,0,49,102,46,0,94,103,0,156,17,17,7,126,1,1,69,0,1.0
CUST0000834066,200804,2008-03-20,129,1775.1200000000001,0,1120,0,0,877,196,47,447,159,513,1,686,29,390,14,275,845,0,0,1,0.0
CUST0000834065,200804,2008-03-19,136,1881.94,806,0,0,0,636,123,47,229,123,452,2,126,323,349,6,786,20,0,0,2,0.0
CUST0000834029,200752,2008-02-22,10,41.989999999999995,48,0,0,0,32,12,4,15,16,17,0,5,7,36,0,16,0,0,32,0,0.0
CUST0000833853,200803,2008-03-15,96,849.1,441,0,0,0,164,246,31,45,169,227,0,251,49,111,30,326,91,24,0,0,0.0
CUST0000833729,200736,2007-11-01,7,43.510000000000005,0,15,0,0,0,13,2,0,15,0,0,8,5,0,2,1,0,13,1,0,2.0
CUST0000832979,200805,2008-03-30,182,446.97,512,0,0,0,50,350,112,0,352,159,1,251,109,137,14,512,0,0,0,1,0.0
CUST0000832937,200751,2008-02-11,307,4316.68,0,2405,0,0,1489,868,48,786,685,933,1,1529,162,713,0,786,10,1609,0,1,0.0
CUST0000832827,200617,2006-06-22,4,34.489999999999995,15,0,0,0,13,0,2,0,2,13,0,1,6,8,0,15,0,0,0,0,1.0
CUST0000832345,200801,2008-03-02,3,11.02,10,0,0,0,0,8,2,0,2,8,0,10,0,0,0,9,0,1,0,0,
CUST0000832339,200802,2008-03-06,66,1743.07,0,0,833,0,725,98,10,474,52,305,2,368,14,442,7,5,0,85,743,2,0.0
CUST0000832283,200805,2008-03-28,264,4097.05,0,2502,0,0,2056,414,32,835,327,1340,0,1670,59,757,16,678,1824,0,0,0,0.0
CUST0000832277,200804,2008-03-19,48,173.74999999999997,133,0,0,0,0,90,43,0,84,48,1,79,9,40,4,131,0,2,0,1,0.0
CUST0000831705,200805,2008-03-29,112,695.18000000000006,0,369,0,0,74,231,64,0,267,102,0,316,9,43,1,2,367,0,0,0,0.0
CUST0000831162,200806,2008-03-31,309,4480.3,0,2879,0,0,2223,474,182,2158,441,280,0,1307,139,1395,38,2860,17,0,2,0,0.0
CUST0000831085,200651,2007-02-16,70,848.7,0,440,0,0,326,85,29,152,81,207,0,245,65,129,1,416,24,0,0,0,1.0
CUST0000830969,200805,2008-03-30,60,230.60000000000002,0,0,130,0,5,76,49,0,91,38,1,58,13,52,6,129,0,0,1,1,0.0
CUST0000830529,200804,2008-03-20,152,1150.0900000000001,616,0,0,0,353,205,58,25,220,370,1,226,138,194,57,0,26,0,590,1,0.0
CUST0000830456,200707,2007-04-09,2,4.93,0,0,0,4,0,2,2,0,4,0,0,2,0,0,2,0,0,4,0,0,1.0
CUST0000830424,200805,2008-03-27,95,2068.01,0,0,1050,0,933,106,11,416,56,578,0,467,225,356,2,0,1050,0,0,0,0.0
CUST0000830044,200805,2008-03-24,86,1733.71,0,0,858,0,731,122,5,98,73,686,1,677,2,169,9,858,0,0,0,1,0.0
CUST0000829489,200805,2008-03-27,82,4692.05,0,0,1899,0,1898,0,1,1661,1,237,0,1013,1,885,0,0,0,1899,0,0,0.0
CUST0000829333,200805,2008-03-26,169,1082.7499999999998,0,398,0,0,160,183,55,0,220,178,0,246,82,65,5,395,3,0,0,0,0.0
CUST0000829233,200728,2007-09-03,3,65.830000000000013,0,0,33,0,26,7,0,15,0,18,0,15,7,11,0,22,0,0,11,0,2.0
CUST0000828846,200743,2007-12-22,21,128.90999999999997,0,0,76,0,11,53,12,0,28,48,0,56,0,19,1,32,44,0,0,0,2.0
CUST0000828166,200805,2008-03-30,169,1866.67,0,1187,0,0,916,168,103,767,257,163,0,1088,34,47,18,1174,1,0,12,0,0.0
CUST0000828036,200805,2008-03-26,118,1676.2300000000002,609,0,0,0,358,224,27,212,203,193,1,358,93,149,8,313,4,292,0,1,0.0
CUST0000828022,200644,2006-12-30,14,39.28,0,25,0,0,8,5,12,0,17,8,0,4,18,2,1,25,0,0,0,0,1.0
CUST0000827922,200804,2008-03-18,75,1089.02,0,330,0,0,151,154,25,0,143,186,1,174,49,99,7,218,97,0,15,1,0.0
CUST0000827856,200706,2007-04-06,1,5.6400000000000006,0,0,0,5,0,5,0,0,5,0,0,5,0,0,0,0,5,0,0,0,1.0
CUST0000827846,200801,2008-03-02,19,71.73,0,57,0,0,0,46,11,0,34,23,0,27,9,20,1,7,39,11,0,0,0.0
CUST0000827750,200805,2008-03-30,26,68.92,0,64,0,0,12,41,11,0,43,19,2,11,38,13,0,0,16,48,0,2,0.0
CUST0000827586,200805,2008-03-26,14,264.08,0,0,162,0,143,17,2,34,2,126,0,114,0,46,2,160,0,2,0,0,2.0
CUST0000827575,200649,2007-01-30,1,9.92,0,0,0,2,0,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1.0
CUST0000827417,200623,2006-08-01,1,41.75,0,13,0,0,13,0,0,0,0,13,0,0,0,13,0,13,0,0,0,0,1.0
CUST0000827111,200650,2007-02-08,1,7.9399999999999986,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,6,0,0,0,0,1.0
CUST0000827064,200743,2007-12-22,45,234.27,0,156,0,0,39,85,32,0,99,57,0,83,26,41,6,150,4,2,0,0,2.0
CUST0000826996,200629,2006-09-12,3,15.13,0,13,0,0,0,13,0,0,8,5,0,0,3,10,0,0,13,0,0,0,1.0
CUST0000826238,200609,2006-04-29,1,26.0,0,0,0,7,0,7,0,0,0,7,0,0,7,0,0,7,0,0,0,0,1.0
CUST0000826229,200644,2006-12-31,2,31.11,0,9,0,0,7,0,2,0,2,7,0,9,0,0,0,0,9,0,0,0,1.0
CUST0000826107,200805,2008-03-24,113,1540.51,0,736,0,0,490,218,28,113,127,496,0,261,111,319,45,736,0,0,0,0,1.0
CUST0000825713,200726,2007-08-26,5,109.9,78,0,0,0,76,0,2,67,2,9,0,24,15,37,2,0,78,0,0,0,2.0
CUST0000825584,200726,2007-08-21,24,419.99,0,0,256,0,203,51,2,129,30,97,0,176,6,72,2,4,0,0,252,0,2.0
CUST0000824998,200803,2008-03-13,21,152.89000000000001,0,0,84,0,30,42,12,0,30,54,0,63,8,12,1,1,81,2,0,0,1.0
CUST0000824986,200743,2007-12-23,2,44.28,19,0,0,0,13,6,0,0,0,19,0,13,0,6,0,19,0,0,0,0,2.0
CUST0000824641,200806,2008-03-31,45,1761.0500000000002,0,0,852,0,847,5,0,598,0,254,0,226,28,598,0,852,0,0,0,0,0.0
CUST0000824456,200730,2007-09-19,1,6.04,0,0,0,3,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,1.0
CUST0000824453,200738,2007-11-16,139,396.59999999999997,308,0,0,0,36,149,123,0,213,92,3,215,34,44,12,304,4,0,0,3,1.0
CUST0000824333,200804,2008-03-23,4,9.83,0,0,0,7,0,5,2,0,7,0,0,2,0,4,1,1,6,0,0,0,0.0
CUST0000823558,200805,2008-03-29,25,365.39,193,0,0,0,128,62,3,48,31,113,1,67,28,95,2,30,163,0,0,1,0.0
CUST0000823257,200622,2006-07-24,25,167.4,0,134,0,0,15,115,4,0,22,112,0,89,10,35,0,134,0,0,0,0,1.0
CUST0000822648,200721,2007-07-17,9,33.63,0,26,0,0,14,3,9,14,12,0,0,11,14,0,1,26,0,0,0,0,2.0
CUST0000822549,200618,2006-07-01,4,57.54,0,17,0,0,10,7,0,0,7,10,0,13,4,0,0,17,0,0,0,0,1.0
CUST0000822468,200805,2008-03-28,29,285.04000000000008,0,177,0,0,92,76,9,36,48,92,1,85,20,68,3,1,176,0,0,1,0.0
CUST0000822402,200746,2008-01-07,15,146.68,75,0,0,0,46,16,13,18,20,37,0,20,18,37,0,57,18,0,0,0,2.0
CUST0000822356,200804,2008-03-21,140,2912.5800000000004,0,0,1236,0,1005,209,22,186,163,887,0,1100,24,109,3,1046,187,0,3,0,0.0
CUST0000822341,200805,2008-03-25,205,2878.7400000000002,1568,0,0,0,1148,379,41,391,191,986,0,977,42,515,34,34,397,440,697,0,0.0
